solo_id,medium_title,band_name,leader_name,track_title,line_up,instrument,recording_year,performer_new,instrument_corrected,notes
AQAEBkmeRkq04L6xy8UP28eDdy8eDrWP_0.00.34.41197-0.01.20.38748,Howard McGhee Vol. 3 (1948-49),Howard McGhee,Howard McGhee,Fiesta,"Howard McGhee (tp), Jimmy Heath (bs, as), Joe Harris (dr), Milt Jackson (vib), Percy Heath (b), Will Davis (p)",ts,1948,Jimmy Heath,bs,
AQAEvomSPIoiwW9Q-Tj2HJdsMN8B8_hw_0.01.12.50430-0.01.59.78594,,Dizzy Gillespie,Dizzy Gillespie,The pushers,,tp,1964,Dizzy Gillespie,,Not in Andrew's file
AQAEyomSSGKShrg61HpwC6Geo1Gq4KGJ_0.00.38.93986-0.01.25.25206,,The Crusaders,,Isa's chant,,tb,1966,Wayne Henderson,,
AQAF3HwWF9fRJ0yQLGuEHM-F50ng9fiP_0.01.05.29451-0.01.47.22975,Dizzy Goes Hollywood,Dizzy Gillespie,Dizzy Gillespie,Never on Sunday,,tp,1963,Dizzy Gillespie,,
AQAF7VKUSYmuBM2eI3nyJMhzWE92jA-a_0.01.35.50367-0.02.00.54639,Miles Davis Vol. 2 (1949-50),Miles Davis' Nonet,Miles Davis,Godchild  ,"Al Haig (p), Bill Barber (other), Gerry Mulligan (bs, other), Joe Shulman (b), John Lewis (other), Junior Collins (other), Kai Winding (tb), Lee Konitz (as), Max Roach (dr), Miles Davis (tp)",ts,1949,Gerry Mulligan,bs,
AQAFBkmiiFnCSThpdPDRP9h34spx9ILh_0.00.58.48816-0.01.24.03591,,The Crusaders,,Black bird,"Joe Sample (p), Stix Hooper (other, dr)",ts,1970,Wilton Felder,,"Wilton Felder, soloist; personnel added"
AQAFCVGyLIkiZWidAznOo5GkBT7y44dY_0.02.06.78095-0.02.42.22666,,Dizzy Gillespie,Dizzy Gillespie,Duke's awakening,,tp,1964,Dizzy Gillespie,,Not in Andrew's file
AQAFamum7EmQB8mD63h-VD_-ojYlvO8Q_0.01.20.33523-0.01.52.38458,,Joe Pass,,The sweetest sounds,"Frank Strazzeri (p), Jim Hughart (b), Joe Pass (g), John Pisano (g)",ts,1964,Bill Perkins,,"Bill Perkins, soloist, added to personnel"
AQAFe0qk6EosTDQdONTRJYxwurgteNFx_0.01.15.63099-0.02.56.40000,,Maynard Ferguson,Maynard Ferguson,Antibes,,ts,1962,Don Menza,,personnel added
AQAFnQkfa5GC68EbBnnn4MkFP8Qz_Lgf_0.01.18.29768-0.01.51.08426,Louis Armstrong And The Blues Singers 1926-27,Nolan Welsh,Nolan Welsh,St. Peter Blues ,"Louis Armstrong (cor), Nolan Welsh (voc), Richard M. Jones (p)",tb,1926,Louis Armstrong,cor,
